    phi1         Phi        phi2        area       omega           a           b
  171.72     59.0627     122.298     95724.6     82.4613     216.024      141.05
 37.0209     63.5996     69.1159      277861     151.958     461.949     191.463
  88.021     37.7521     19.8989      189884     116.726     348.555     173.407
  3.0151     121.432     85.1085      296028     61.8199     408.168     230.858
 173.926      87.107     102.053      430084      59.478     550.431     248.714
 84.6198     10.1294     12.7729 1.07208e+06     77.0556     801.341     425.853
 22.2617     70.8878     84.4828      333946     158.273     412.313      257.81
 151.843      113.92     46.0898      666903     1.07945     634.424     334.606
 17.2028      129.68     90.2535 1.51595e+06     125.866     746.499     646.405
 177.354     18.6263     89.3269     97378.5     88.8787     280.746     110.408
 67.2367     8.19004     37.7278 1.29349e+06     133.231     674.554     610.375
  3.2909     100.797     79.0538      493686     176.172     423.228     371.301
 24.5502     32.2958     67.4069 2.79877e+06     98.4803     1249.39     713.049
 19.0996     85.5886     78.0864      521054     179.932     1328.73     124.824
 14.9175     39.1395      94.427      154151     101.845     285.542      171.84
0.987323     71.2795     83.9545      147404     150.738     242.827     193.225
   26.22     31.7671     67.3748      113980     4.97688     317.018     114.444
 12.1882     94.5965     76.7979      844015     111.875     772.687     347.694
 28.2497     68.8366     71.2182 2.92085e+06     116.822     1238.02     750.989
 6.49724     63.0014     78.0143      230707      85.901     464.366     158.143
 76.8408      4.2494     181.763 1.70826e+06     80.2873     1140.76     476.664
 14.1184     124.574     69.4915      210988     137.465     309.466     217.018
 122.476     23.5775      150.73 1.69841e+06      100.24     926.367     583.594
 175.933     36.5917     106.508      811930     84.8268     786.436     328.629
 88.6852     5.50234     5.29416      283353     78.5828     488.826     184.512
 158.649     137.008     91.6435 3.94554e+06     132.452     1438.57     873.022
  50.617     84.6477      57.879      186457     148.142     275.522     215.413
 4.18746     44.8774     76.4934 3.82285e+06     102.247      1563.5     778.289
 40.4214     95.3793     75.9601 6.79463e+06     133.632     2226.15     971.544
 105.277     18.9434     4.85617      413780     80.4737     484.924      271.61
 35.8327     87.3551      55.647      750400     98.7478     732.556     326.063
 165.038     31.2716     131.405      198802     129.465     286.886     220.578
 21.8788     57.9549     74.6275      399154     78.1677     409.466     310.293
 12.4081     126.667     76.5465      573280      114.48     666.395     273.833
 36.4958     78.8461     57.7412      943587      161.08     639.025     470.018
 45.2861     83.3555     69.4585     66131.2     70.2286     185.982     113.184
 23.0915      130.92     118.637     58559.7     89.6389      147.22     126.614
 166.614     103.138      85.857 1.07342e+06     133.005      801.08     426.524
 23.0942      48.192     71.6489 3.05386e+06     101.187     1746.34     556.635
 62.4396     154.304     171.248 2.22706e+06     86.4538     1041.42     680.703
 29.5614     67.8922     80.4381 2.32264e+06     67.2702     944.085     783.106
 45.3638     82.7903     69.9032      532088     117.542      718.38     235.765
  157.16     9.50305      117.58      102246     101.285     203.698     159.775
 10.4496     64.4706     91.0562      187594     130.305     280.066     213.211
 46.7394     9.71636     41.7819 4.44559e+06     101.623      1778.1     795.836
 29.3906     103.047     66.1368      222840     71.2819     306.185     231.664
 126.533     104.974     98.3847      931161     85.4752     610.841     485.229
